country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
HU,decarbo-eu,2033,838928.5714285712,0.0194,16275.214285714283,petrochem_olefins
HU,decarbo-eu,2034,838928.5714285712,0.0192,16107.428571428567,petrochem_olefins
HU,decarbo-eu,2035,838928.5714285712,0.019,15939.642857142853,petrochem_olefins
HU,decarbo-eu,2036,838928.5714285712,0.0188,15771.85714285714,petrochem_olefins
HU,decarbo-eu,2037,838928.5714285712,0.018600000000000002,15604.071428571428,petrochem_olefins
HU,decarbo-eu,2038,838928.5714285712,0.0184,15436.28571428571,petrochem_olefins
HU,decarbo-eu,2039,838928.5714285712,0.0182,15268.499999999998,petrochem_olefins
HU,decarbo-eu,2040,838928.5714285712,0.018000000000000002,15100.714285714284,petrochem_olefins
HU,decarbo-eu,2041,838928.5714285712,0.0178,14932.928571428569,petrochem_olefins
HU,decarbo-eu,2042,838928.5714285712,0.0176,14765.142857142855,petrochem_olefins
HU,decarbo-eu,2043,838928.5714285712,0.0174,14597.35714285714,petrochem_olefins
HU,decarbo-eu,2044,838928.5714285712,0.017200000000000003,14429.571428571428,petrochem_olefins
HU,decarbo-eu,2045,838928.5714285712,0.017,14261.785714285712,petrochem_olefins
HU,decarbo-eu,2046,838928.5714285712,0.016800000000000002,14093.999999999998,petrochem_olefins
HU,decarbo-eu,2047,838928.5714285712,0.0166,13926.214285714283,petrochem_olefins
HU,decarbo-eu,2048,838928.5714285712,0.0164,13758.428571428569,petrochem_olefins
HU,decarbo-eu,2049,838928.5714285712,0.016200000000000003,13590.642857142857,petrochem_olefins
HU,decarbo-eu,2050,838928.5714285712,0.016,13422.85714285714,petrochem_olefins
IE,decarbo-eu,2019,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2020,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2021,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2022,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2023,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2024,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2025,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2026,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2027,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2028,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2029,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2030,0.0,0.02,0.0,petrochem_olefins
IE,decarbo-eu,2031,0.0,0.0198,0.0,petrochem_olefins
IE,decarbo-eu,2032,0.0,0.0196,0.0,petrochem_olefins
IE,decarbo-eu,2033,0.0,0.0194,0.0,petrochem_olefins
IE,decarbo-eu,2034,0.0,0.0192,0.0,petrochem_olefins
IE,decarbo-eu,2035,0.0,0.019,0.0,petrochem_olefins
IE,decarbo-eu,2036,0.0,0.0188,0.0,petrochem_olefins
IE,decarbo-eu,2037,0.0,0.018600000000000002,0.0,petrochem_olefins
IE,decarbo-eu,2038,0.0,0.0184,0.0,petrochem_olefins
IE,decarbo-eu,2039,0.0,0.0182,0.0,petrochem_olefins
IE,decarbo-eu,2040,0.0,0.018000000000000002,0.0,petrochem_olefins
IE,decarbo-eu,2041,0.0,0.0178,0.0,petrochem_olefins
IE,decarbo-eu,2042,0.0,0.0176,0.0,petrochem_olefins
IE,decarbo-eu,2043,0.0,0.0174,0.0,petrochem_olefins
IE,decarbo-eu,2044,0.0,0.017200000000000003,0.0,petrochem_olefins
